"fullQualifiedDependentTypeName","dependentTypeName","dependentTypeLabel","numberOfUsingPackages","Source Cypher File: domains/internal-dependencies/queries/internal-dependencies/List_types_that_are_used_by_many_different_packages.cypher"
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.UnableToRetrieveIdentifierException","UnableToRetrieveIdentifierException","Class Throwable",2,""
"org.axonframework.messaging.core.annotation.UnsupportedHandlerException","UnsupportedHandlerException","Class Throwable",2,""
"org.axonframework.messaging.core.annotation.AbstractAnnotatedParameterResolverFactory","AbstractAnnotatedParameterResolverFactory","GenericDeclaration Class",1,""
"org.axonframework.modelling.entity.child.AbstractEntityChildMetamodel$Builder","AbstractEntityChildMetamodel$Builder","GenericDeclaration Class",1,""
"org.axonframework.eventsourcing.eventstore.jpa.AggregateBasedJpaEventStorageEngine","AggregateBasedJpaEventStorageEngine","Class InternalJavaType",1,""
"org.axonframework.eventsourcing.eventstore.jpa.AggregateBasedJpaEventStorageEngineConfiguration","AggregateBasedJpaEventStorageEngineConfiguration","Record InternalJavaType",1,""
"org.axonframework.messaging.commandhandling.annotation.AnnotatedCommandHandlingComponent","AnnotatedCommandHandlingComponent","GenericDeclaration Class",1,""
"org.axonframework.modelling.entity.annotation.AnnotatedEntityIdResolverDefinition","AnnotatedEntityIdResolverDefinition","Class InternalJavaType",1,""
"org.axonframework.messaging.eventhandling.annotation.AnnotatedEventHandlingComponent","AnnotatedEventHandlingComponent","GenericDeclaration Class",1,""
"org.axonframework.messaging.queryhandling.annotation.AnnotatedQueryHandlingComponent","AnnotatedQueryHandlingComponent","GenericDeclaration Class",1,""
"org.axonframework.modelling.annotation.AnnotationBasedEntityEvolvingComponent","AnnotationBasedEntityEvolvingComponent","GenericDeclaration Class",1,""
"org.axonframework.modelling.annotation.AnnotationBasedEntityIdResolver","AnnotationBasedEntityIdResolver","GenericDeclaration Class",1,""
"org.axonframework.eventsourcing.annotation.reflection.AnnotationBasedEventSourcedEntityFactoryDefinition","AnnotationBasedEventSourcedEntityFactoryDefinition","Class InternalJavaType",1,""
"org.axonframework.eventsourcing.eventstore.AnnotationBasedTagResolver","AnnotationBasedTagResolver","Class InternalJavaType",1,""
"org.axonframework.messaging.core.annotation.AnnotationMessageTypeResolver","AnnotationMessageTypeResolver","Class InternalJavaType",1,""
"org.axonframework.messaging.commandhandling.annotation.AnnotationRoutingStrategy","AnnotationRoutingStrategy","Class InternalJavaType",1,""
"org.axonframework.update.api.ArtifactAvailableUpgrade","ArtifactAvailableUpgrade","Record InternalJavaType",1,""
"org.axonframework.conversion.avro.AvroConverter","AvroConverter","Class InternalJavaType",1,""
"org.axonframework.conversion.avro.AvroConverterConfiguration","AvroConverterConfiguration","Record InternalJavaType",1,""
"org.axonframework.conversion.avro.AvroConverterStrategy","AvroConverterStrategy","Interface InternalJavaType",1,""
"org.axonframework.test.AxonAssertionError","AxonAssertionError","Class Throwable",1,""
"org.axonframework.extension.springboot.autoconfig.AxonAutoConfiguration","AxonAutoConfiguration","Class InternalJavaType",1,""
"org.axonframework.axonserver.connector.command.AxonServerCommandBusConnector","AxonServerCommandBusConnector","Class InternalJavaType",1,""
"org.axonframework.axonserver.connector.command.AxonServerCommandDispatchException","AxonServerCommandDispatchException","Class InternalJavaType",1,""
"org.axonframework.axonserver.connector.AxonServerConfiguration$Eventhandling","AxonServerConfiguration$Eventhandling","Class InternalJavaType",1,""
"org.axonframework.axonserver.connector.AxonServerConfiguration$Eventhandling$ProcessorSettings","AxonServerConfiguration$Eventhandling$ProcessorSettings","Class InternalJavaType",1,""
"org.axonframework.axonserver.connector.AxonServerConfigurationEnhancer","AxonServerConfigurationEnhancer","Class InternalJavaType",1,""
"org.axonframework.extension.springboot.service.connection.AxonServerConnectionDetails","AxonServerConnectionDetails","Interface InternalJavaType",1,""
"org.axonframework.test.server.AxonServerContainer","AxonServerContainer","Class InternalJavaType",1,""
"org.axonframework.axonserver.connector.event.AxonServerEventStorageEngineFactory","AxonServerEventStorageEngineFactory","Class InternalJavaType",1,""
"org.axonframework.extension.springboot.actuator.axonserver.AxonServerHealthIndicator","AxonServerHealthIndicator","Class InternalJavaType",1,""
"org.axonframework.axonserver.connector.command.AxonServerNonTransientRemoteCommandHandlingException","AxonServerNonTransientRemoteCommandHandlingException","Class InternalJavaType",1,""
"org.axonframework.axonserver.connector.query.AxonServerNonTransientRemoteQueryHandlingException","AxonServerNonTransientRemoteQueryHandlingException","Class InternalJavaType",1,""
"org.axonframework.axonserver.connector.query.AxonServerQueryBusConnector","AxonServerQueryBusConnector","Class InternalJavaType",1,""
"org.axonframework.axonserver.connector.query.AxonServerQueryDispatchException","AxonServerQueryDispatchException","Class InternalJavaType",1,""
"org.axonframework.axonserver.connector.command.AxonServerRemoteCommandHandlingException","AxonServerRemoteCommandHandlingException","Class InternalJavaType",1,""
"org.axonframework.axonserver.connector.query.AxonServerRemoteQueryHandlingException","AxonServerRemoteQueryHandlingException","Class InternalJavaType",1,""
"org.axonframework.extension.springboot.actuator.axonserver.AxonServerStatusAggregator","AxonServerStatusAggregator","Class InternalJavaType",1,""
"org.axonframework.test.fixture.AxonTestFixture","AxonTestFixture","Class InternalJavaType",1,""
"org.axonframework.update.detection.AxonVersionDetector","AxonVersionDetector","Class InternalJavaType",1,""
"org.axonframework.conversion.CachingSupplier","CachingSupplier","GenericDeclaration Class",1,""
"org.axonframework.modelling.entity.child.ChildEntityFieldDefinition","ChildEntityFieldDefinition","Interface GenericDeclaration",1,""
"org.axonframework.modelling.entity.ChildEntityNotFoundException","ChildEntityNotFoundException","Class InternalJavaType",1,""
"org.axonframework.messaging.core.ClassBasedMessageTypeResolver","ClassBasedMessageTypeResolver","Class InternalJavaType",1,""
"org.axonframework.messaging.commandhandling.distributed.CommandBusConnector$Handler","CommandBusConnector$Handler","Interface InternalJavaType",1,""
"org.axonframework.messaging.commandhandling.distributed.CommandBusConnector$ResultCallback","CommandBusConnector$ResultCallback","Interface InternalJavaType",1,""
"org.axonframework.messaging.commandhandling.CommandDispatchException","CommandDispatchException","Class Throwable",1,""
"org.axonframework.messaging.commandhandling.gateway.CommandDispatcher","CommandDispatcher","Interface InternalJavaType",1,""
"org.axonframework.messaging.commandhandling.gateway.CommandGateway","CommandGateway","Interface InternalJavaType",1,""
"org.axonframework.messaging.commandhandling.annotation.CommandHandler","CommandHandler","Annotation InternalJavaType",1,""
"org.axonframework.messaging.commandhandling.annotation.CommandHandlingMember","CommandHandlingMember","Interface GenericDeclaration",1,""
"org.axonframework.messaging.commandhandling.interception.CommandSequencingInterceptor","CommandSequencingInterceptor","GenericDeclaration Class",1,""
"org.axonframework.modelling.entity.child.CommandTargetResolver","CommandTargetResolver","Interface GenericDeclaration",1,""
"org.axonframework.common.configuration.ComponentFactory","ComponentFactory","Interface GenericDeclaration",1,""
"org.axonframework.common.configuration.ComponentNotFoundException","ComponentNotFoundException","Class InternalJavaType",1,""
"org.axonframework.modelling.ConcurrencyException","ConcurrencyException","Class InternalJavaType",1,""
"org.axonframework.common.jdbc.ConnectionExecutor","ConnectionExecutor","Class InternalJavaType",1,""
"org.axonframework.common.jdbc.ConnectionProvider","ConnectionProvider","Interface InternalJavaType",1,""
"org.axonframework.extension.springboot.util.jpa.ContainerManagedEntityManagerProvider","ContainerManagedEntityManagerProvider","Class InternalJavaType",1,""
"org.axonframework.eventsourcing.eventstore.ContinuousMessageStream","ContinuousMessageStream","GenericDeclaration Class",1,""
"org.axonframework.extension.springboot.ConverterProperties","ConverterProperties","Class InternalJavaType",1,""
"org.axonframework.extension.springboot.ConverterProperties$ConverterType","ConverterProperties$ConverterType","Enum InternalJavaType",1,""
"org.axonframework.messaging.commandhandling.gateway.ConvertingCommandGateway","ConvertingCommandGateway","Class InternalJavaType",1,""
"org.axonframework.messaging.core.interception.CorrelationDataInterceptor","CorrelationDataInterceptor","GenericDeclaration Class",1,""
"org.axonframework.eventsourcing.annotation.CriteriaResolverDefinition","CriteriaResolverDefinition","Interface InternalJavaType",1,""
"org.axonframework.common.configuration.DefaultAxonApplication","DefaultAxonApplication","Class InternalJavaType",1,""
"org.axonframework.messaging.commandhandling.gateway.DefaultCommandGateway","DefaultCommandGateway","Class InternalJavaType",1,""
"org.axonframework.messaging.core.correlation.DefaultCorrelationDataProviderRegistry","DefaultCorrelationDataProviderRegistry","Class InternalJavaType",1,""
"org.axonframework.messaging.core.interception.DefaultDispatchInterceptorRegistry","DefaultDispatchInterceptorRegistry","Class InternalJavaType",1,""
"org.axonframework.messaging.eventhandling.gateway.DefaultEventGateway","DefaultEventGateway","Class InternalJavaType",1,""
"org.axonframework.messaging.core.interception.DefaultHandlerInterceptorRegistry","DefaultHandlerInterceptorRegistry","Class InternalJavaType",1,""
"org.axonframework.messaging.monitoring.configuration.DefaultMessageMonitorRegistry","DefaultMessageMonitorRegistry","Class InternalJavaType",1,""
"org.axonframework.messaging.queryhandling.gateway.DefaultQueryGateway","DefaultQueryGateway","Class InternalJavaType",1,""
"org.axonframework.update.common.DelayedTask","DelayedTask","Class InternalJavaType",1,""
"org.axonframework.test.util.DescriptionUtils","DescriptionUtils","Class InternalJavaType",1,""
"org.axonframework.update.api.DetectedVulnerability","DetectedVulnerability","Record InternalJavaType",1,""
"org.axonframework.update.api.DetectedVulnerabilitySeverity","DetectedVulnerabilitySeverity","Enum InternalJavaType",1,""
"org.axonframework.common.DirectExecutor","DirectExecutor","Class InternalJavaType",1,""
"org.axonframework.messaging.commandhandling.distributed.DistributedCommandBusConfiguration","DistributedCommandBusConfiguration","Record InternalJavaType",1,""
"org.axonframework.messaging.queryhandling.distributed.DistributedQueryBusConfiguration","DistributedQueryBusConfiguration","Record InternalJavaType",1,""
"org.axonframework.messaging.commandhandling.DuplicateCommandHandlerSubscriptionException","DuplicateCommandHandlerSubscriptionException","Class Throwable",1,""
"org.axonframework.modelling.EntityEvolvingComponent","EntityEvolvingComponent","Interface GenericDeclaration",1,""
"org.axonframework.common.jpa.EntityManagerExecutor","EntityManagerExecutor","Class InternalJavaType",1,""
"org.axonframework.modelling.configuration.EntityMetamodelConfigurationBuilder","EntityMetamodelConfigurationBuilder","Interface GenericDeclaration",1,""
"org.axonframework.modelling.configuration.EntityModule","EntityModule","Interface GenericDeclaration",1,""
"org.axonframework.messaging.eventhandling.gateway.EventAppender","EventAppender","Interface InternalJavaType",1,""
"org.axonframework.eventsourcing.eventstore.EventCoordinator$Handle","EventCoordinator$Handle","Interface InternalJavaType",1,""
"org.axonframework.messaging.eventhandling.gateway.EventGateway","EventGateway","Interface InternalJavaType",1,""
"org.axonframework.axonserver.connector.event.EventProcessorControlService","EventProcessorControlService","Class InternalJavaType",1,""
"org.axonframework.extension.springboot.EventProcessorProperties","EventProcessorProperties","Class InternalJavaType",1,""
"org.axonframework.extension.springboot.EventProcessorProperties$ProcessorSettings","EventProcessorProperties$ProcessorSettings","Class InternalJavaType",1,""
"org.axonframework.messaging.core.EventPublicationFailedException","EventPublicationFailedException","Class InternalJavaType",1,""
"org.axonframework.eventsourcing.annotation.EventSourcedEntity","EventSourcedEntity","Annotation InternalJavaType",1,""
"org.axonframework.eventsourcing.EventSourcingRepository","EventSourcingRepository","GenericDeclaration Class",1,""
"org.axonframework.eventsourcing.eventstore.EventStoreException","EventStoreException","Class InternalJavaType",1,""
"org.axonframework.eventsourcing.annotation.EventTag","EventTag","Annotation InternalJavaType",1,""
"org.axonframework.eventsourcing.annotation.EventTags","EventTags","Annotation InternalJavaType",1,""
"org.axonframework.modelling.entity.child.EventTargetMatcher","EventTargetMatcher","Interface GenericDeclaration",1,""
"org.axonframework.messaging.eventstreaming.EventTypeRestrictableEventCriteria","EventTypeRestrictableEventCriteria","Interface InternalJavaType",1,""
"org.axonframework.common.jpa.FactoryBasedEntityManagerProvider","FactoryBasedEntityManagerProvider","Class InternalJavaType",1,""
"org.axonframework.test.matchers.FieldFilter","FieldFilter","Interface InternalJavaType",1,""
"org.axonframework.messaging.core.annotation.FixedValueParameterResolver","FixedValueParameterResolver","GenericDeclaration Class",1,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.GapAwareTrackingToken","GapAwareTrackingToken","Class InternalJavaType",1,""
"org.axonframework.messaging.queryhandling.GenericSubscriptionQueryUpdateMessage","GenericSubscriptionQueryUpdateMessage","Class InternalJavaType",1,""
"org.axonframework.axonserver.connector.util.GrpcMessageSizeInterceptor","GrpcMessageSizeInterceptor","Class InternalJavaType",1,""
"org.axonframework.messaging.core.annotation.HandlerAttributes","HandlerAttributes","Interface InternalJavaType",1,""
"org.axonframework.messaging.core.timeout.HandlerTimeoutConfiguration","HandlerTimeoutConfiguration","Class InternalJavaType",1,""
"org.axonframework.messaging.core.timeout.HandlerTimeoutHandlerEnhancerDefinition","HandlerTimeoutHandlerEnhancerDefinition","Class InternalJavaType",1,""
"org.axonframework.extension.springboot.actuator.HealthStatus","HealthStatus","Class InternalJavaType",1,""
"org.axonframework.messaging.core.annotation.HierarchicalParameterResolverFactory","HierarchicalParameterResolverFactory","Class InternalJavaType",1,""
"org.axonframework.messaging.core.sequencing.HierarchicalSequencingPolicy","HierarchicalSequencingPolicy","GenericDeclaration Class",1,""
"org.axonframework.test.matchers.IgnoreField","IgnoreField","Class InternalJavaType",1,""
"org.axonframework.eventsourcing.eventstore.inmemory.InMemoryEventStorageEngine","InMemoryEventStorageEngine","Class InternalJavaType",1,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory.InMemoryTokenStore","InMemoryTokenStore","Class InternalJavaType",1,""
"org.axonframework.common.configuration.InstantiatedComponentDefinition","InstantiatedComponentDefinition","GenericDeclaration Class",1,""
"org.axonframework.messaging.commandhandling.interception.InterceptingCommandBus","InterceptingCommandBus","Class InternalJavaType",1,""
"org.axonframework.eventsourcing.eventstore.InterceptingEventStore","InterceptingEventStore","Class InternalJavaType",1,""
"org.axonframework.messaging.queryhandling.interception.InterceptingQueryBus","InterceptingQueryBus","Class InternalJavaType",1,""
"org.axonframework.messaging.core.annotation.InterceptorChainParameterResolverFactory","InterceptorChainParameterResolverFactory","Class InternalJavaType",1,""
"org.axonframework.conversion.jackson2.Jackson2Converter","Jackson2Converter","Class InternalJavaType",1,""
"org.axonframework.common.jdbc.JdbcException","JdbcException","Class Throwable",1,""
"org.axonframework.common.jdbc.JdbcUtils","JdbcUtils","Class InternalJavaType",1,""
"org.axonframework.common.jdbc.JdbcUtils$SqlResultConverter","JdbcUtils$SqlResultConverter","Interface GenericDeclaration",1,""
"org.axonframework.extension.springboot.JpaEventStorageEngineConfigurationProperties","JpaEventStorageEngineConfigurationProperties","Class InternalJavaType",1,""
"org.axonframework.eventsourcing.eventstore.jpa.JpaPollingEventCoordinator","JpaPollingEventCoordinator","Class InternalJavaType",1,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.JpaTokenStore","JpaTokenStore","Class InternalJavaType",1,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.JpaTokenStoreConfiguration","JpaTokenStoreConfiguration","Record InternalJavaType",1,""
"org.axonframework.messaging.core.unitofwork.transaction.jpa.JpaTransactionalExecutorProvider","JpaTransactionalExecutorProvider","Class InternalJavaType",1,""
"org.axonframework.update.detection.KotlinVersion","KotlinVersion","Class InternalJavaType",1,""
"org.axonframework.messaging.core.unitofwork.LegacyMessageSupportingContext","LegacyMessageSupportingContext","Class InternalJavaType",1,""
"org.axonframework.common.lifecycle.LifecycleHandlerInvocationException","LifecycleHandlerInvocationException","Class Throwable",1,""
"org.axonframework.modelling.entity.child.ListEntityChildMetamodel","ListEntityChildMetamodel","GenericDeclaration Class",1,""
"org.axonframework.modelling.entity.child.ListEntityChildMetamodel$Builder","ListEntityChildMetamodel$Builder","GenericDeclaration Class",1,""
"org.axonframework.update.detection.MachineId","MachineId","Class InternalJavaType",1,""
"org.axonframework.test.matchers.MapStringEntryMatcher","MapStringEntryMatcher","Class InternalJavaType",1,""
"org.axonframework.test.matchers.MatchAllFieldFilter","MatchAllFieldFilter","Class InternalJavaType",1,""
"org.axonframework.test.matchers.Matchers","Matchers","Class InternalJavaType",1,""
"org.axonframework.messaging.core.interception.annotation.MessageInterceptingMember","MessageInterceptingMember","Interface GenericDeclaration",1,""
"org.axonframework.messaging.monitoring.configuration.MessageMonitorFactory","MessageMonitorFactory","Interface GenericDeclaration",1,""
"org.axonframework.messaging.core.correlation.MessageOriginProvider","MessageOriginProvider","Class InternalJavaType",1,""
"org.axonframework.extension.metrics.micrometer.MetricsConfigurationEnhancer","MetricsConfigurationEnhancer","Class InternalJavaType",1,""
"org.axonframework.modelling.configuration.ModellingConfigurer","ModellingConfigurer","Class InternalJavaType",1,""
"org.axonframework.messaging.monitoring.interception.MonitoringCommandHandlerInterceptor","MonitoringCommandHandlerInterceptor","Class InternalJavaType",1,""
"org.axonframework.messaging.monitoring.interception.MonitoringEventDispatchInterceptor","MonitoringEventDispatchInterceptor","Class InternalJavaType",1,""
"org.axonframework.messaging.monitoring.interception.MonitoringEventHandlerInterceptor","MonitoringEventHandlerInterceptor","Class InternalJavaType",1,""
"org.axonframework.messaging.monitoring.interception.MonitoringQueryHandlerInterceptor","MonitoringQueryHandlerInterceptor","Class InternalJavaType",1,""
"org.axonframework.messaging.monitoring.interception.MonitoringSubscriptionQueryUpdateDispatchInterceptor","MonitoringSubscriptionQueryUpdateDispatchInterceptor","Class InternalJavaType",1,""
"org.axonframework.messaging.core.MonoUtils","MonoUtils","Class InternalJavaType",1,""
"org.axonframework.messaging.core.annotation.MultiParameterResolverFactory","MultiParameterResolverFactory","Class InternalJavaType",1,""
"org.axonframework.messaging.queryhandling.NoHandlerForQueryException","NoHandlerForQueryException","Class Throwable",1,""
"org.axonframework.messaging.core.interception.annotation.NoMoreInterceptors","NoMoreInterceptors","GenericDeclaration Class",1,""
"org.axonframework.messaging.monitoring.NoOpMessageMonitorCallback","NoOpMessageMonitorCallback","Enum InternalJavaType",1,""
"org.axonframework.messaging.core.sequencing.NoOpSequencingPolicy","NoOpSequencingPolicy","Class InternalJavaType",1,""
"org.axonframework.messaging.tracing.NoOpSpanFactory$NoOpSpan","NoOpSpanFactory$NoOpSpan","Class InternalJavaType",1,""
"org.axonframework.messaging.commandhandling.distributed.PayloadConvertingCommandBusConnector","PayloadConvertingCommandBusConnector","Class InternalJavaType",1,""
"org.axonframework.messaging.queryhandling.distributed.PayloadConvertingQueryBusConnector","PayloadConvertingQueryBusConnector","Class InternalJavaType",1,""
"org.axonframework.test.matchers.PayloadMatcher","PayloadMatcher","GenericDeclaration Class",1,""
"org.axonframework.messaging.core.annotation.PayloadParameterResolver","PayloadParameterResolver","Class InternalJavaType",1,""
"org.axonframework.modelling.entity.PolymorphicEntityMetamodel","PolymorphicEntityMetamodel","GenericDeclaration Class",1,""
"org.axonframework.modelling.entity.PolymorphicEntityMetamodelBuilder","PolymorphicEntityMetamodelBuilder","Interface GenericDeclaration",1,""
"org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessorConfiguration","PooledStreamingEventProcessorConfiguration","Class InternalJavaType",1,""
"org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessorModule","PooledStreamingEventProcessorModule","Class InternalJavaType",1,""
"org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessorsConfigurer","PooledStreamingEventProcessorsConfigurer","Class InternalJavaType",1,""
"org.axonframework.common.annotation.PriorityAnnotationComparator","PriorityAnnotationComparator","GenericDeclaration Class",1,""
"org.axonframework.common.util.PriorityCallable","PriorityCallable","GenericDeclaration Class",1,""
"org.axonframework.common.ProcessUtils","ProcessUtils","Class InternalJavaType",1,""
"org.axonframework.messaging.eventhandling.processing.errorhandling.PropagatingErrorHandler","PropagatingErrorHandler","Enum InternalJavaType",1,""
"org.axonframework.modelling.PropertyBasedEntityIdResolver","PropertyBasedEntityIdResolver","Class InternalJavaType",1,""
"org.axonframework.messaging.queryhandling.distributed.QueryBusConnector$Handler","QueryBusConnector$Handler","Interface InternalJavaType",1,""
"org.axonframework.messaging.queryhandling.distributed.QueryBusConnector$UpdateCallback","QueryBusConnector$UpdateCallback","Interface InternalJavaType",1,""
"org.axonframework.messaging.queryhandling.gateway.QueryGateway","QueryGateway","Interface InternalJavaType",1,""
"org.axonframework.messaging.queryhandling.annotation.QueryHandler","QueryHandler","Annotation InternalJavaType",1,""
"org.axonframework.messaging.queryhandling.QueryUpdateEmitterParameterResolverFactory","QueryUpdateEmitterParameterResolverFactory","Class InternalJavaType",1,""
"org.axonframework.messaging.core.QueueMessageStream","QueueMessageStream","GenericDeclaration Class",1,""
"org.axonframework.test.util.RecordingCommandBus","RecordingCommandBus","Class InternalJavaType",1,""
"org.axonframework.extension.springboot.util.RegisterDefaultEntities","RegisterDefaultEntities","Annotation InternalJavaType",1,""
"org.axonframework.messaging.eventhandling.replay.ReplayStatus","ReplayStatus","Enum InternalJavaType",1,""
"org.axonframework.modelling.repository.Repository$LifecycleManagement","Repository$LifecycleManagement","Interface GenericDeclaration",1,""
"org.axonframework.messaging.eventhandling.replay.ResetContext","ResetContext","Interface InternalJavaType",1,""
"org.axonframework.messaging.eventhandling.replay.ResetNotSupportedException","ResetNotSupportedException","Class InternalJavaType",1,""
"org.axonframework.messaging.core.retry.RetryScheduler","RetryScheduler","Interface InternalJavaType",1,""
"org.axonframework.messaging.core.retry.RetryScheduler$Dispatcher","RetryScheduler$Dispatcher","Interface GenericDeclaration",1,""
"org.axonframework.messaging.core.sequencing.RoutingKeySequencingPolicy","RoutingKeySequencingPolicy","Class InternalJavaType",1,""
"org.axonframework.eventsourcing.eventstore.jpa.SQLErrorCodesResolver","SQLErrorCodesResolver","Class InternalJavaType",1,""
"org.axonframework.messaging.eventhandling.processing.streaming.segmenting.SegmentMatcher","SegmentMatcher","Class InternalJavaType",1,""
"org.axonframework.messaging.eventhandling.processing.streaming.segmenting.SequencingEventHandlingComponent","SequencingEventHandlingComponent","Class InternalJavaType",1,""
"org.axonframework.messaging.core.annotation.SequencingPolicy","SequencingPolicy","Annotation InternalJavaType",1,""
"org.axonframework.messaging.core.sequencing.SequentialPerAggregatePolicy","SequentialPerAggregatePolicy","Class InternalJavaType",1,""
"org.axonframework.messaging.commandhandling.SimpleCommandBus","SimpleCommandBus","Class InternalJavaType",1,""
"org.axonframework.messaging.eventhandling.SimpleEventHandlingComponent","SimpleEventHandlingComponent","Class InternalJavaType",1,""
"org.axonframework.messaging.core.SimpleHandlerAttributes","SimpleHandlerAttributes","Class InternalJavaType",1,""
"org.axonframework.messaging.queryhandling.SimpleQueryBus","SimpleQueryBus","Class InternalJavaType",1,""
"org.axonframework.modelling.SimpleStateManager","SimpleStateManager","Class InternalJavaType",1,""
"org.axonframework.modelling.entity.child.SingleEntityChildMetamodel","SingleEntityChildMetamodel","GenericDeclaration Class",1,""
"org.axonframework.modelling.entity.child.SingleEntityChildMetamodel$Builder","SingleEntityChildMetamodel$Builder","GenericDeclaration Class",1,""
"org.axonframework.extension.metrics.micrometer.reservoir.SlidingTimeWindowReservoir","SlidingTimeWindowReservoir","Class InternalJavaType",1,""
"org.axonframework.messaging.tracing.SpanUtils","SpanUtils","Class InternalJavaType",1,""
"org.axonframework.modelling.StateEvolvingException","StateEvolvingException","Class Throwable",1,""
"org.axonframework.eventsourcing.eventstore.StorageEngineBackedEventStore","StorageEngineBackedEventStore","Class InternalJavaType",1,""
"org.axonframework.eventsourcing.eventstore.StreamSpliterator","StreamSpliterator","GenericDeclaration Class",1,""
"org.axonframework.messaging.eventhandling.processing.subscribing.SubscribingEventProcessor","SubscribingEventProcessor","Class InternalJavaType",1,""
"org.axonframework.messaging.eventhandling.processing.subscribing.SubscribingEventProcessorConfiguration","SubscribingEventProcessorConfiguration","Class InternalJavaType",1,""
"org.axonframework.messaging.eventhandling.processing.subscribing.SubscribingEventProcessorModule","SubscribingEventProcessorModule","Class InternalJavaType",1,""
"org.axonframework.messaging.eventhandling.processing.subscribing.SubscribingEventProcessorsConfigurer","SubscribingEventProcessorsConfigurer","Class InternalJavaType",1,""
"org.axonframework.eventsourcing.eventstore.TagResolver","TagResolver","Interface InternalJavaType",1,""
"org.axonframework.extension.springboot.TagsConfigurationProperties","TagsConfigurationProperties","Class InternalJavaType",1,""
"org.axonframework.modelling.annotation.TargetEntityIdMemberMismatchException","TargetEntityIdMemberMismatchException","Class Throwable",1,""
"org.axonframework.common.function.ThrowingConsumer","ThrowingConsumer","Interface GenericDeclaration",1,""
"org.axonframework.extension.springboot.TimeoutProperties","TimeoutProperties","Class InternalJavaType",1,""
"org.axonframework.extension.springboot.TimeoutProperties$MessageHandlerTimeoutProperties","TimeoutProperties$MessageHandlerTimeoutProperties","Class InternalJavaType",1,""
"org.axonframework.extension.springboot.TimeoutProperties$TransactionTimeoutProperties","TimeoutProperties$TransactionTimeoutProperties","Class InternalJavaType",1,""
"org.axonframework.extension.springboot.TokenStoreProperties","TokenStoreProperties","Class InternalJavaType",1,""
"org.axonframework.axonserver.connector.TopologyChangeListener","TopologyChangeListener","Interface InternalJavaType",1,""
"org.axonframework.messaging.eventhandling.processing.streaming.segmenting.TrackerStatus","TrackerStatus","Class InternalJavaType",1,""
"org.axonframework.messaging.core.unitofwork.TransactionalUnitOfWorkFactory","TransactionalUnitOfWorkFactory","Class InternalJavaType",1,""
"org.axonframework.messaging.core.timeout.UnitOfWorkTimeoutInterceptorBuilder","UnitOfWorkTimeoutInterceptorBuilder","Class InternalJavaType",1,""
"org.axonframework.update.api.UpdateCheckRequest","UpdateCheckRequest","Record InternalJavaType",1,""
"org.axonframework.update.api.UpdateCheckResponse","UpdateCheckResponse","Record InternalJavaType",1,""
"org.axonframework.update.UpdateChecker","UpdateChecker","Class InternalJavaType",1,""
"org.axonframework.update.UpdateCheckerHttpClient","UpdateCheckerHttpClient","Class InternalJavaType",1,""
"org.axonframework.extension.springboot.UpdateCheckerProperties","UpdateCheckerProperties","Class InternalJavaType",1,""
"org.axonframework.update.UpdateCheckerReporter","UpdateCheckerReporter","Interface InternalJavaType",1,""
